Timestamp,What main industry have you worked in?,How many years professional experience do you have?,How many years programming experience do you have?,What key experiences do you have?,Data management,Statistics,Visualisation,Machine Learning & Data Mining,Software Engineering,Communication,How would you define Data Science in one sentence?,What key skills do you want to develop?,What kind of role would you like to go into?,What industry would you like to go into?,,Customer Relationship Management,26,,(Applied) Statistician,9
2/21/2023 17:29:12,NGO,10,10,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software Engineering, Product-driven thinking",5,5,5,5,3,4,"By using the data, find out impactful analysis which can be helpful for the desire organisation.","Machine learning, Data mining, Natural Language Processing","Data Engineer, Data Scientist, Data Architect, Consultant, Product Management, Software Engineer, Research",Information Technology,,,,,,
2/21/2023 18:16:23,Information Technology,10,10,"Programming, Software Engineering",5,4,5,5,4,4,Study of data,"Relational databases, Information Retrieval, Machine learning, Data mining, Natural Language Processing, Programming, Product-driven thinking","Data Engineer, Data Scientist, Data Architect, Research",Information Technology,,,,,,
2/21/2023 18:16:56,Oil & Gas,2,0,"Statistical Analysis, Customer Relationship Management, Management, Requirements gathering, Ethics, Product-driven thinking",5,5,5,5,3,5,Drawing useful patterns from raw data and turning it into useful information.,"Relational databases, NoSQL, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Software engineering","Data Engineer, Data Scientist, Analyst, Product Management, UX/Design",Financial and Insurance Services,,,,,,
2/21/2023 18:56:00,Information Technology,1,8,"Relational databases, Natural Language Processing, Programming, Software Engineering",4,4,4,4,3,5,The science of figuring out what you need to target in a system to optimize it.,"Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining","Data Engineer, Data Scientist, Quantitative Analyst, Software Engineer, Research",Information Technology,,,,,,
2/21/2023 18:56:16,Student,0,0,Programming,5,3,4,5,1,5,Data Handler of a business ,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Option 9, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking","Data Scientist, Product Management, Software Engineer",Financial and Insurance Services,,,,,,
2/21/2023 18:57:09,ScientiIc Research,3,3,Relational databases,3,3,3,3,3,3,It is a kind of shows of data.,Programming,Analyst,Media and Communications,,,,,,
2/21/2023 18:57:21,Hospitality,0,0,"Customer Relationship Management, Management",1,2,1,1,1,3,Data science is the study of data to extract meaningful insights for business,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Option 9, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking",Data Scientist,Media and Communications,,,,,,
2/21/2023 18:57:29,Financial and Insurance Services,6,3,"Relational databases, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Programming, Customer Relationship Management, Management",5,5,5,5,4,5,Data Science is the study of data and systematically using its principles in order to generate actionable insights.,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking","Data Engineer, Data Scientist, Data Architect, Analyst, (Applied) Statistician, Quantitative Analyst, Consultant",Information Technology,,,,,,
2/21/2023 18:57:30,Education and Training,0,0,"Statistical Analysis, Management",4,4,3,4,2,4,It is a discipline that focuses on analyzing data and obtaininginsights from it,"Relational databases, Information Retrieval, Statistical Analysis, Programming",Data Scientist,Financial and Insurance Services,,,,,,
2/21/2023 18:57:41,Engineering,6,1,"Statistical Analysis, Visualisation, Management",4,4,4,4,3,4,understanding and analyzing information to draw relationships and conclusions,"Statistical Analysis, Visualisation, Management, Ethics","Data Scientist, Analyst, Consultant, UX/Design",Media and Communications,,,,,,
2/21/2023 18:58:11,Hospitality,3,0,"Customer Relationship Management, Management",4,4,5,5,3,5,Utilize intelligent systems to derive knowledge from data,"Statistical Analysis, Visualisation, Natural Language Processing, Customer Relationship Management, Management, Product-driven thinking","Data Scientist, Analyst, Consultant, Product Management",Information Technology,,,,,,
2/21/2023 19:00:00,Financial and Insurance Services,10,3,"Relational databases, Information Retrieval, Visualisation, Management",5,5,5,5,3,5,Applying tools to help provide insights into data,"Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Requirements gathering, Ethics, Product-driven thinking",Data Scientist,Financial and Insurance Services,,,,,,
2/21/2023 19:00:03,Information Technology,1,3,"Relational databases, NoSQL, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Product-driven thinking",4,5,4,5,3,5,Problem Solver,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Option 9, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking","Data Scientist, Analyst, (Applied) Statistician, Quantitative Analyst",Information Technology,,,,,,
2/21/2023 19:00:45,Retail,3,0,"Customer Relationship Management, Management, Ethics, Product-driven thinking",5,4,5,5,3,5,Data science is to understand a problem and come up with a data driven solution.,"Relational databases, Statistical Analysis, Machine learning, Data mining, Natural Language Processing, Programming, Management, Product-driven thinking","Data Engineer, Analyst, Product Management",Retail,,,,,,
2/21/2023 19:01:03,Financial and Insurance Services,3,0,,4,5,5,5,4,5,Data science is the work of pulling insights from dataset,"Relational databases, Statistical Analysis, Visualisation, Machine learning, Data mining, Programming, Product-driven thinking",Data Scientist,Financial and Insurance Services,,,,,,
2/21/2023 19:02:15,Information Technology,0,3,"Visualisation, Data mining",2,3,4,1,1,3,patten leaning,"Relational databases, Statistical Analysis, Programming, Management",Data Scientist,Information Technology,,,,,,
2/21/2023 19:02:19,Retail,0,0,"Customer Relationship Management, Management",5,5,4,5,5,4,Gathering; Summarising; Analysing; Visualising,"Relational databases, Statistical Analysis","Analyst, Quantitative Analyst",Financial and Insurance Services,,,,,,
2/21/2023 19:02:44,ScientiIc Research,3,1,"Statistical Analysis, Data mining, Programming",5,5,5,5,4,3,Data science combines statistical methods to give a meaning full information using coding ,"Relational databases, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Customer Relationship Management","Data Scientist, Analyst, Quantitative Analyst",Scientific Research,,,,,,
2/21/2023 19:02:48,ScientiIc Research,3,1,"Statistical Analysis, Data mining, Programming",5,5,5,5,4,3,It's programming where you involve statistical skill to give insight of Data ,"Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Management","Data Scientist, Analyst",Scientific Research,,,,,,
2/21/2023 19:04:31,banking ,0,0,,5,5,5,5,5,5,Transcending ,"Statistical Analysis, Programming, Software engineering",Data Scientist,Financial and Insurance Services,,,,,,
2/21/2023 19:04:35,Financial and Insurance Services,3,0,"Visualisation, Natural Language Processing",4,5,4,4,2,5,Smart,"Statistical Analysis, Visualisation, Machine learning, Natural Language Processing","Data Scientist, Product Management, Marketing management",Media and Communications,,,,,,
2/21/2023 19:04:39,Civil,0,0,,5,5,5,5,4,5,Science that dig information from data.,"NoSQL, Statistical Analysis, Visualisation, Machine learning","Data Scientist, Analyst, Product Management",Media and Communications,,,,,,
2/21/2023 19:05:03,Information Technology,1,4,"Relational databases, Information Retrieval, Visualisation, Data mining, Requirements gathering, Ethics, Product-driven thinking",5,3,4,2,4,5,Exciting,"NoSQL, Statistical Analysis, Machine learning, Natural Language Processing, Programming, Management, Requirements gathering","Data Engineer, Analyst, Quantitative Analyst, Software Engineer",Financial and Insurance Services,,,,,,
2/21/2023 19:05:26,Information Technology,0.8,0.8,"Relational databases, Visualisation, Programming, Management, Software Engineering",5,5,4,5,5,4,Important to make value for data,"Relational databases, Machine learning, Data mining, Natural Language Processing, Programming, Customer Relationship Management, Software engineering","Data Engineer, Data Scientist, Data Architect, Analyst",Information Technology,,,,,,
2/21/2023 19:05:32,Information Technology,1,4,"NoSQL, Statistical Analysis, Machine learning, Data mining, Natural Language Processing, Programming, Software Engineering",3,4,5,4,4,3,Big data makes better pathways,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Option 9, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking","Data Engineer, Data Scientist, Data Architect, Analyst, Quantitative Analyst, Software Engineer",Scientific Research,,,,,,
2/21/2023 19:05:40,Information Technology,20,5,"Relational databases, Visualisation, Machine learning, Natural Language Processing, Software Engineering, Product-driven thinking",4,5,5,5,3,5,The ability to derive knowledge from data,"Relational databases, Statistical Analysis, Machine learning, Natural Language Processing, Programming",Data Scientist,Financial and Insurance Services,,,,,,
2/21/2023 19:05:49,Financial and Insurance Services,4,0,Management,5,3,5,5,3,4,"Data Science is an analytics profession with which one can collect, analysis and interpret data to help drive decision-making in an organization.","Relational databases, Visualisation, Machine learning, Data mining, Natural Language Processing, Customer Relationship Management","Data Engineer, Data Scientist, Data Architect, Analyst",Mining,,,,,,
2/21/2023 19:06:00,Media and Communications,25,0,"Statistical Analysis, Visualisation, Management, Ethics",5,4,4,4,2,5,The art of turning data into information -- two very different things,"Statistical Analysis, Data mining, Product-driven thinking",Consultant,Media and Communications,,,,,,
2/21/2023 19:06:03,Information Technology,1,2,"Relational databases, NoSQL, Statistical Analysis, Visualisation, Machine learning, Data mining, Programming, Software Engineering",4,4,4,4,3,3,Data is knowledge.,"Statistical Analysis, Customer Relationship Management, Management, Product-driven thinking","Data Engineer, Data Scientist, Analyst, (Applied) Statistician, Quantitative Analyst",Financial and Insurance Services,,,,,,
2/21/2023 19:06:34,Media and Communications,2,4,"Programming, Management, Software Engineering",5,2,5,3,5,5,An ability to manipulate or summarize data in quality and quantity methods through right ethics.,"NoSQL, Statistical Analysis, Machine learning, Data mining, Programming, Management, Ethics, Product-driven thinking","Data Scientist, Analyst, Research, UX/Design",Media and Communications,,,,,,
2/21/2023 19:07:28,Information Technology,4,4,"Relational databases, Information Retrieval, Visualisation, Data mining, Management, Ethics, Software Engineering",4,4,4,5,4,3,Data mining value ,"Natural Language Processing, Programming",Data Scientist,Information Technology,,,,,,
2/21/2023 19:07:28,Government Services,5,0,"Management, Ethics",5,5,4,4,4,5,Future,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking","Data Engineer, Data Scientist, Analyst",Information Technology,,,,,,
2/21/2023 19:07:56,Information Technology,20,5,"Relational databases, Information Retrieval, Statistical Analysis, Visualisation, Management, Requirements gathering",3,3,4,3,2,3,Use data to gather information for decisions,Machine learning,Data Scientist,Information Technology,,,,,,
2/21/2023 19:08:20,Information Technology,9,9,"Relational databases, Programming, Software Engineering",4,4,4,5,4,5,Getting useful information from huge chunks of data,"Statistical Analysis, Visualisation, Machine learning, Natural Language Processing","Data Scientist, Software Engineer",Information Technology,,,,,,
2/21/2023 19:08:34,Information Technology,0,4,"Relational databases, NoSQL, Programming",4,5,5,5,4,5,The use of scientific methods to obtain useful information from computer data,"NoSQL, Product-driven thinking","Data Engineer, Data Scientist, Data Architect, Analyst, (Applied) Statistician, Quantitative Analyst, Software Engineer, Research, UX/Design",Information Technology,,,,,,
2/21/2023 19:08:40,Sports ,3,0,Management,5,4,4,3,3,5,"The study of exploring, Gathering and Analysis of Data ","Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Option 9, Programming, Customer Relationship Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking","Data Scientist, Data Architect, Analyst, Consultant",Sports ,,,,,,
2/21/2023 19:08:48,Education and Training,3,3,"Relational databases, Programming",3,2,3,3,4,5,mining the data from different platform,"Visualisation, Data mining, Programming","Data Scientist, Quantitative Analyst, Software Engineer",Mining,,,,,,
2/21/2023 19:09:06,ScientiIc Research,6,0,"Information Retrieval, Statistical Analysis, Visualisation, Customer Relationship Management, Management, Ethics",5,5,5,4,4,5,"The acquisition and examination of datasets, to deliver actionable solutions in order to solve a problem.","Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Option 9, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking","Data Engineer, Data Scientist, Data Architect, Analyst, Consultant, Research",Scientific Research,,,,,,
2/21/2023 19:10:27,Financial and Insurance Services,2,0.5,"Relational databases, Information Retrieval, Statistical Analysis, Management",4,4,2,5,4,4,The science of getting insight from Data,"Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Software engineering","Data Engineer, Data Scientist, Analyst",Financial and Insurance Services,,,,,,
2/21/2023 19:10:36,Engineering,1.5,3,"Machine learning, Programming, Software Engineering",5,4,5,5,3,4,Data Scientists build intelligent systems to derive knowledge from data.,"Information Retrieval, Machine learning, Data mining, Option 9, Software engineering, Product-driven thinking",Software Engineer,Information Technology,,,,,,
2/21/2023 19:10:44,Financial and Insurance Services,15,0,,4,4,4,4,4,4,"The organisation, managment and interpretation of data.","Programming, Customer Relationship Management, Management",Quantitative Analyst,Real Estate Industry,,,,,,
2/21/2023 19:11:06,Education and Training,3,4,"Relational databases, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Requirements gathering, Software Engineering",4,4,5,5,3,4,Data Science is a methodology of taking in data in order to come up with a meaning full conclusion,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Option 9, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking","Data Engineer, Data Scientist, Analyst, Product Management, Software Engineer, Research, UX/Design",Information Technology,,,,,,
2/21/2023 19:13:55,Information Technology,1,1,"Relational databases, Statistical Analysis, Visualisation, Programming, Customer Relationship Management, Management, Software Engineering",5,5,5,5,5,5,Development of data systems to uncover hidden insights and make data-driven decisions.,"Relational databases, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Ethics, Software engineering, Product-driven thinking","Analyst, Consultant",Financial and Insurance Services,,,,,,
2/21/2023 20:01:24,Economics,0,0,Statistical Analysis,4,5,5,5,5,5,Data Science is awesome because we are living in a world that is drowning in data,"Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Software engineering","Data Scientist, Analyst",E-commerce and entertainment industries,,,,,,
2/21/2023 21:51:18,Utilities,0,0,,4,3,4,5,2,5,Data Science is the way to use data for problem solving,"NoSQL, Visualisation, Data mining, Requirements gathering, Product-driven thinking",Analyst,Financial and Insurance Services,,,,,Customer Relationship Management,26
2/21/2023 22:38:13,Information Technology,0,5,"Relational databases, Visualisation, Machine learning, Natural Language Processing, Programming",4,5,4,5,3,4,"Data Science is a tool to implement in building better insights to make better decision, recommend improved action.","Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Product-driven thinking","Data Scientist, Data Architect",Retail,,,,,Data mining,62
2/21/2023 23:13:23,Information Technology,15,0,"Customer Relationship Management, Management, Requirements gathering, Ethics, Product-driven thinking",4,4,4,5,4,4,The art of turning data to aessts and power ,"Relational databases, NoSQL, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing","Data Scientist, Analyst, Product Management",Retail,,,,,Ethics,24
2/22/2023 7:02:32,Education and Training,3,0,"Management, Requirements gathering, Ethics",4,5,5,5,4,3,Data science is the way of applying mathematical and statistical skills to extract meaningful insights From data.,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Programming, Ethics","Data Engineer, Data Scientist, Analyst",Financial and Insurance Services,,,,,Information Retrieval,33
2/22/2023 8:52:18,Information Technology,0,4,"Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Software Engineering",4,4,4,3,4,3,to find some meaningful insights from a dataset,"Information Retrieval, Option 9, Customer Relationship Management, Management, Requirements gathering, Ethics, Product-driven thinking","Data Engineer, Data Scientist, Data Architect, Software Engineer",Education and Training,,,,,Machine learning,73
2/22/2023 10:40:11,Financial and Insurance Services,1,1,Machine learning,5,5,5,5,2,5,Data science is the study of data to extract meaningful insights for business.,"Relational databases, Information Retrieval, Visualisation, Natural Language Processing, Management","Data Architect, Analyst",Financial and Insurance Services,,,,,Management,40
2/22/2023 14:10:40,Information Technology,1,1,"Visualisation, Programming, Customer Relationship Management",5,5,4,5,3,5,Using data to solve problems,"Information Retrieval, Statistical Analysis, Machine learning, Data mining, Natural Language Processing","Data Engineer, Data Scientist, Software Engineer, UX/Design",Information Technology,,,,,Natural Language Processing,57
2/22/2023 14:48:05,Information Technology,7,7,"Relational databases, Programming, Software Engineering",5,4,5,5,4,5,A way of finding hidden facts which might help in the growth of a business.,"Statistical Analysis, Visualisation, Machine learning, Natural Language Processing","Data Engineer, Data Scientist",Information Technology,,,,,NoSQL,33
2/22/2023 17:26:49,Education and Training,3,0,Statistical Analysis,4,4,5,5,3,5,Data science is based on studying a data and predicting the solutions.,"Relational databases, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Management, Product-driven thinking","Data Scientist, Analyst, (Applied) Statistician",Information Technology,,,,,Option 9,11
2/22/2023 17:28:16,Information Technology,0,5,"Relational databases, Visualisation, Machine learning, Natural Language Processing, Programming, Software Engineering",3,3,3,4,3,4,Field which gives a meaningful definition to the raw data. ,"Relational databases, NoSQL, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Ethics, Software engineering","Data Engineer, Data Scientist, Data Architect, Analyst, Quantitative Analyst, Software Engineer, Research",Information Technology,,,,,Product-driven thinking,40
2/22/2023 18:25:58,Information Technology,2,0,,5,3,5,4,4,5,amazing ,"Relational databases, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Programming, Software engineering","Data Engineer, Data Scientist, Data Architect, Analyst, (Applied) Statistician, Product Management, Software Engineer",Financial and Insurance Services,,,,,Programming,58
2/23/2023 1:47:30,Information Technology,0,4,"Relational databases, Statistical Analysis, Visualisation, Machine learning, Programming, Ethics",4,4,4,3,3,4,The study of data and its analysis,"Machine learning, Data mining, Natural Language Processing, Programming, Customer Relationship Management, Ethics, Software engineering, Product-driven thinking","Data Engineer, Data Scientist, Data Architect, Analyst",Information Technology,,,,,Relational databases,43
2/23/2023 9:34:14,Information Technology,5,5,"Relational databases, Information Retrieval, Programming, Requirements gathering, Software Engineering",5,5,5,5,4,5,Data science is an emerging field with concepts like NLP and ML which are ruling the world today and helping make life easier and better.,"Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Requirements gathering, Ethics, Software engineering","Data Scientist, Analyst, Research",Scientific Research,,,,,Requirements gathering,23
2/23/2023 10:16:33,Information Technology,2.5,4,"Machine learning, Programming, Software Engineering",5,5,4,5,3,3,art of unfolding the secrets behind data and the world,"NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Requirements gathering, Ethics, Product-driven thinking","Data Engineer, Data Scientist, Data Architect, Analyst, Quantitative Analyst, Consultant, UX/Design",Media and Communications,,,,,SAS programming,1
2/23/2023 12:51:15,Financial and Insurance Services,16,0,"Statistical Analysis, Customer Relationship Management, Management",3,4,5,4,4,5,Reveal a phenonmenon by breaking down complicated data and visualising the results,"Visualisation, Management",Data Scientist,Financial and Insurance Services,,,,,Software engineering,28
2/23/2023 14:34:34,Manufacturing,0,1,Programming,5,5,5,5,4,5,An opportunity to find new information from available data to improve a field of work.,"Relational databases, Information Retrieval, Statistical Analysis, Machine learning, Programming, Software engineering","Data Scientist, Quantitative Analyst, Consultant",Scientific Research,,,,,Statistical Analysis,67
2/23/2023 16:53:14,Retail,1,0.5,"Programming, Software Engineering",1,2,1,1,4,3,"Data science is a science of data, by the help of this we can get insights, that helps in various industry to grow and make changes.  ","NoSQL, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Customer Relationship Management, Product-driven thinking","Data Engineer, Data Scientist, Consultant",Information Technology,,,,,Visualisation,59
2/23/2023 22:01:52,None,0,3,"Relational databases, Programming, Product-driven thinking",5,4,5,5,3,5,"Collect, Analyze and model","Relational databases, Statistical Analysis, Visualisation, Machine learning, Data mining, Programming, Customer Relationship Management, Management, Product-driven thinking","Data Architect, Analyst, Consultant",Scientific Research,,,,,,
